file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1482.8978988468527,1537.132329993699,28.723018146334503,18,20.2,1.3266499161421599,16.47586586475372
C101,650.3490149469862,661.4677611309328,16.984165340312096,8,8.3,0.45825756949558405,36.41223378181458
RC101,1404.974895831109,1453.9819006642554,34.707772630964485,14,15.5,0.6708203932499369,29.944067001342773
R102,1279.784033532563,1312.6303629252602,15.722683084855461,15,16.7,0.6403124237432849,23.182336235046385
C102,650.3490149469861,661.4677611309328,16.984165340312167,8,8.3,0.45825756949558394,42.08870658874512
RC102,1315.9691999169722,1343.7728128794295,20.78038873865279,13,13.6,0.8,30.167247128486633
R103,1046.6088850017609,1073.5218483364608,15.33009216924146,12,12.4,0.6633249580710799,53.956455659866336
C103,650.336828558961,658.6644578046355,8.364174347870563,8,8.0,0.0,34.735738205909726
RC103,1146.169482839449,1175.139358500287,19.425440608620907,11,11.4,0.4898979485566356,52.988377928733826
R104,840.6912225223914,852.3066693630008,7.226335190599544,9,9.0,0.0,73.07911636829377
C104,643.9271322531663,646.3822978985527,3.0523822161224468,8,8.0,0.0,46.5874561548233
RC104,967.7734354937127,973.9503269064119,3.657356136908464,9,9.0,0.0,39.31405410766602
R105,1212.5156632139092,1232.0165330571926,13.52407713926344,14,14.1,0.3,26.633672952651978
C105,650.3490149469862,650.3490149469864,9.511723266474241e-14,8,8.0,0.0,32.17271702289581
RC105,1318.4681093740535,1372.673380192584,51.34528817840051,13,14.2,1.0770329614269007,32.85591785907745
R106,1100.83040048069,1114.3922507103957,10.432421708120984,12,12.9,0.3,31.140139651298522
C106,648.4848950795289,648.4848950795289,1.3451608044987588e-13,8,8.0,0.0,41.875433397293094
RC106,1207.3477459221804,1227.387878583721,19.598355598272576,12,12.3,0.45825756949558405,34.764470767974856
R107,970.1417001850568,987.0017934922528,10.37190349459507,10,10.4,0.4898979485566356,54.40853540897369
C107,648.4848950795289,648.484895079529,8.038873388460929e-14,8,8.0,0.0,43.58385491371155
RC107,1047.971741003676,1058.3923264118635,6.834838408333575,10,10.0,0.0,47.24333906173706
R108,825.2570026760784,832.5915562473831,7.294265425241478,8,8.9,0.3,68.2104590177536
C108,646.6341942832072,646.6341942832074,7.190186943645084e-14,8,8.0,0.0,37.15830113887787
RC108,933.903159121227,936.9178658385501,1.9528378612678305,9,9.0,0.0,49.22073018550873
